Failure type	|Probe	|Usage	|Node Name	|Device Name	|Date/Time	|
Analog Failure	|P337	|1	|SIGN1958	|tp415	|210402193602	|
Analog Failure	|P133	|1	|AN_IN_B_3_	|tp23	|210402204427	|
Analog Failure	|P337	|1	|SIGN1958	|tp415	|210402204427	|
Analog Failure	|P133	|1	|AN_IN_B_3_	|tp23	|210402232521	|
Analog Failure	|P337	|1	|SIGN1958	|tp415	|210402232521	|
Analog Failure	|P671	|1	|GND	|tp2	|210403012312	|
Analog Failure	|P671	|1	|GND	|tp2	|210403012428	|
Analog Failure	|P133	|1	|AN_IN_B_3_	|tp23	|210403164308	|
Analog Failure	|P337	|1	|SIGN1958	|tp415	|210403164308	|
Analog Failure	|P133	|1	|AN_IN_B_3_	|tp23	|210403165322	|
Analog Failure	|P337	|1	|SIGN1958	|tp415	|210403165322	|
Analog Failure	|P133	|1	|AN_IN_B_3_	|tp23	|210403172401	|
Analog Failure	|P337	|1	|SIGN1958	|tp415	|210403172401	|
Analog Failure	|P133	|1	|AN_IN_B_3_	|tp23	|210403172409	|
Analog Failure	|P337	|1	|SIGN1958	|tp415	|210403172409	|
Analog Failure	|P133	|1	|AN_IN_B_3_	|tp23	|210403172411	|
Analog Failure	|P337	|1	|SIGN1958	|tp415	|210403172411	|
Analog Failure	|P133	|1	|AN_IN_B_3_	|tp23	|210403172411	|
Analog Failure	|P337	|1	|SIGN1958	|tp415	|210403172411	|
Analog Failure	|P133	|1	|AN_IN_B_3_	|tp23	|210403172428	|
Analog Failure	|P337	|1	|SIGN1958	|tp415	|210403172428	|
Analog Failure	|P133	|1	|AN_IN_B_3_	|tp23	|210403172443	|
Analog Failure	|P337	|1	|SIGN1958	|tp415	|210403172443	|
Analog Failure	|P133	|1	|AN_IN_B_3_	|tp23	|210403172444	|
Analog Failure	|P337	|1	|SIGN1958	|tp415	|210403172444	|
Analog Failure	|P133	|1	|AN_IN_B_3_	|tp23	|210403172450	|
Analog Failure	|P337	|1	|SIGN1958	|tp415	|210403172450	|
Analog Failure	|P133	|1	|AN_IN_B_3_	|tp23	|210403172457	|
Analog Failure	|P337	|1	|SIGN1958	|tp415	|210403172457	|
Analog Failure	|P133	|1	|AN_IN_B_3_	|tp23	|210403172458	|
Analog Failure	|P337	|1	|SIGN1958	|tp415	|210403172458	|
Analog Failure	|P133	|1	|AN_IN_B_3_	|tp23	|210403172504	|
Analog Failure	|P337	|1	|SIGN1958	|tp415	|210403172504	|
Analog Failure	|P133	|1	|AN_IN_B_3_	|tp23	|210403172505	|
Analog Failure	|P337	|1	|SIGN1958	|tp415	|210403172505	|
Analog Failure	|P133	|1	|AN_IN_B_3_	|tp23	|210403172513	|
Analog Failure	|P337	|1	|SIGN1958	|tp415	|210403172513	|
Analog Failure	|P133	|1	|AN_IN_B_3_	|tp23	|210403172516	|
Analog Failure	|P337	|1	|SIGN1958	|tp415	|210403172516	|
Analog Failure	|P133	|1	|AN_IN_B_3_	|tp23	|210403172522	|
Analog Failure	|P337	|1	|SIGN1958	|tp415	|210403172522	|
Analog Failure	|P133	|1	|AN_IN_B_3_	|tp23	|210403172523	|
Analog Failure	|P337	|1	|SIGN1958	|tp415	|210403172523	|
Analog Failure	|P133	|1	|AN_IN_B_3_	|tp23	|210403172523	|
Analog Failure	|P337	|1	|SIGN1958	|tp415	|210403172523	|
